Aluno,Bruno Gross,369.675.318-16,1234,2025-04-24,Plano Básico,null
Aluno,Letíca Teles,465.987.123-12,1234,2025-04-24,Combo Total,null
Aluno,Beatriz Pinheiro,564.357.987-51,1234,2025-04-24,Combo Total,null
Aluno,Victor Campos,491.953.657-87,1234,2025-04-24,Combo Mensal,null
Aluno,Aline Mielli,278.689.159-14,1234,2025-04-24,Combo Estudante,null
Aluno,Rayca Nascimento,549.631.781-31,1234,2025-04-24,Combo Estudante,null
Aluno,Laryssa Peixoto,412.957.582-15,1234,2025-04-24,Plano Básico,null
Aluno,Paulo Roberto Silva,457.241.987-71,1234,2025-04-24,Combo Mensal,Sabrina Siqueira
Aluno,José Carlos Boretto,412.123.821-21,1234,2025-04-24,Plano Básico,Sabrina Siqueira
Aluno,Sophie Peixoto,047.326.589-38,1234,2024-01-30,Combo Estudante,Daniel Lopes
Aluno,Beatriz Gomes,214.756.830-90,1234,2023-02-11,Combo Mensal,Adriana Franco
Aluno,Srta. Nina Melo,781.236.945-55,1234,2024-06-07,Combo Estudante,Daniel Lopes
Aluno,Manuela Ferreira,089.753.621-59,1234,2024-02-19,Combo Mensal,Sabrina Siqueira
Aluno,Sr. Thomas Martins,138.964.702-13,1234,2024-05-03,Combo Mensal,Daniel Lopes
Aluno,Isabelly Gonçalves,108.194.732-00,1234,2024-11-27,Combo Total,Adriana Franco
Aluno,Luiz Guilherme Ramos,813.768.215-76,1234,2024-10-15,Plano Básico,Sabrina Siqueira
Aluno,Srta. Isadora Teixeira,024.867.359-88,1234,2023-05-02,Combo Total,Daniel Lopes
Aluno,Sr. Gustavo Rodrigues,302.581.934-27,1234,2024-06-19,Combo Mensal,Daniel Lopes
Aluno,Vinícius Lopes,093.658.401-95,1234,2023-12-02,Plano Básico,Adriana Franco
Aluno,Helena da Luz,698.130.542-60,1234,2024-10-10,Combo Total,Sabrina Siqueira
Aluno,Ricardo Farias,493.701.638-00,1234,2023-10-23,Combo Estudante,Daniel Lopes
Aluno,Sra. Yasmin Fogaça,368.157.901-53,1234,2024-07-26,Combo Mensal,Adriana Franco
Aluno,Thales da Rosa,163.045.897-09,1234,2023-01-06,Combo Total,Sabrina Siqueira
Aluno,João Otávio Souza,798.243.126-75,1234,2023-12-15,Combo Estudante,Daniel Lopes
Aluno,Clarice Silveira,082.196.045-31,1234,2024-04-13,Plano Básico,Adriana Franco
Aluno,Lorenzo Mendes,487.536.290-17,1234,2023-07-01,Combo Mensal,Sabrina Siqueira
Aluno,Arthur Monteiro,234.768.905-69,1234,2023-04-06,Combo Estudante,Daniel Lopes
Aluno,Júlia Fernandes,173.409.856-20,1234,2024-03-22,Combo Total,Adriana Franco
Aluno,Renan Correia,074.215.936-81,1234,2023-06-09,Combo Total,Daniel Lopes
Aluno,Camila Matos,248.397.530-02,1234,2023-11-03,Combo Estudante,Sabrina Siqueira
Aluno,Srta. Milena Rocha,675.024.813-44,1234,2024-02-06,Combo Mensal,Adriana Franco
Aluno,Enzo Ribeiro,304.217.968-34,1234,2023-03-08,Plano Básico,Sabrina Siqueira
Aluno,Pedro Viana,158.364.020-99,1234,2023-12-21,Plano Básico,Daniel Lopes
Aluno,Henrique Cardoso,905.174.362-84,1234,2024-09-05,Combo Total,Adriana Franco
Aluno,Sr. Rafael Costa,582.130.647-30,1234,2023-02-17,Plano Básico,Daniel Lopes
Aluno,Emanuel Santiago,204.569.871-43,1234,2023-09-18,Combo Total,Sabrina Siqueira
Aluno,Marcela Souza,351.942.807-57,1234,2023-08-06,Combo Estudante,Adriana Franco
Aluno,Lucas Vieira,697.314.205-18,1234,2023-04-25,Plano Básico,Sabrina Siqueira
Aluno,Ana Júlia Martins,542.681.397-00,1234,2023-05-30,Combo Total,Daniel Lopes
Personal,Sabrina Siqueira,517.314.381-14,1234,Hipertrofia,RJ-432478
Personal,Adriana Franco,357.846.348-21,1234,Pilates,RJ-987124
Personal,Daniel Lopes,547.927.153-24,1234,Spinning,RJ-875111
